,GROUP,CATEGORY,BUDGET >5 MLN,BUDGET MLN,DATE START PLAN,DATE END PLAN,DURATION PLAN,DURATION >30,COMPLIANCE STRATEGY,AUTHORIZATION,FINISH FACT,REQUIREMENTS LAW,PM NAME,SPONSOR NAME,DAYS
41,OB,STRAT,0,1.66,2015-03-10,2017-06-26,27,0,1,1,1,0,Isabelle U.,Dave P.,839
42,РP,USUAL,1,5.29,2015-10-13,2017-08-07,21,0,1,1,1,0,William T.,Dave P.,664
43,РP,USUAL,0,1.01,2015-08-19,2017-03-02,18,0,0,1,1,0,William T.,Chris K.,561
44,OB,USUAL,0,1.1,2014-09-01,2018-10-01,48,1,1,1,0,0,Isabelle U.,Michael J.,1491
45,MM,USUAL,0,1.02,2015-03-31,2016-08-01,16,0,0,1,1,0,Alice D.,Martin S.,489
46,MM,STRAT,0,1.22,2016-03-13,2016-08-01,4,0,1,1,1,0,Freya P.,Dave P.,141
47,UP,USUAL,1,10.12,2016-03-14,2016-11-28,8,0,0,1,0,0,Maryam E.,Michael J.,259
48,РP,USUAL,0,1.25,2014-08-26,2014-11-25,2,0,1,0,1,0,Maryam E.,Martin S.,91
49,РP,STRAT,0,4.08,2020-09-21,2021-07-01,9,0,1,1,1,0,Noah O.,Dave P.,283
50,UB,USUAL,0,1.01,2013-11-23,2014-11-30,12,0,1,1,1,0,Freya P.,Chris K.,372
51,MM,USUAL,0,1.52,2016-12-14,2017-11-17,11,0,1,1,1,0,Joshua I.,Dave P.,338
52,РP,USUAL,0,1.14,2015-03-16,2016-06-27,15,0,0,1,1,0,Charlie S.,Jerry H.,469
53,РP,USUAL,0,2.32,2015-01-21,2016-06-29,17,0,1,0,1,0,Jack V.,Chris K.,525
54,РP,USUAL,0,3.14,2015-10-23,2016-08-18,9,0,1,1,1,0,Jacob G.,Dave P.,300
55,РP,USUAL,0,3.03,2015-02-25,2015-07-31,5,0,0,1,1,0,William T.,Dave P.,156
56,MM,USUAL,0,1.65,2018-12-29,2023-11-30,59,1,1,1,1,0,Noah O.,Martin S.,1797
57,OB,USUAL,0,1.76,2017-09-06,2021-01-24,40,1,0,1,0,0,Ethan K.,Dave P.,1236
58,РP,STRAT,0,1.01,2015-07-24,2016-07-05,11,0,1,1,0,0,William T.,Dave P.,347
59,MM,USUAL,0,1.61,2015-08-08,2016-09-23,13,0,1,1,1,0,Oscar E.,Jerry H.,412
60,OB,STRAT,0,1.36,2015-07-04,2015-12-03,4,0,1,1,1,0,Alfie R.,Dave P.,152
61,MM,USUAL,0,1.05,2015-10-09,2016-01-15,3,0,1,1,1,0,Joshua I.,Jerry H.,98
62,SР,USUAL,0,3.22,2015-05-10,2015-11-06,5,0,1,0,0,0,William T.,Brad P.,180
63,SР,USUAL,0,4.23,2018-04-13,2018-10-28,6,0,1,1,1,0,Ethan K.,Martin S.,198
64,РP,STRAT,0,1.01,2015-10-16,2016-06-15,7,0,1,1,0,0,William T.,Michael J.,243
65,OB,STRAT,1,10.89,2017-06-25,2018-08-08,13,0,1,1,0,0,Maryam E.,Dave P.,409
66,OB,USUAL,0,1.01,2015-12-20,2016-11-02,10,0,1,1,1,0,Jacob G.,Fred В.,318
67,SР,STRAT,0,1.32,2015-07-05,2016-07-11,12,0,1,1,0,0,Heidi P.,Jerry H.,372
68,MM,USUAL,0,2.07,2015-04-01,2017-07-02,27,0,0,1,1,0,Oscar E.,Dave P.,823
69,FI,USUAL,0,1.01,2016-01-24,2016-06-07,4,0,0,1,1,0,Alice D.,Dave P.,135
70,MM,USUAL,0,1.01,2015-04-08,2015-12-26,8,0,1,1,0,0,Joseph N.,Jerry H.,262
71,OB,USUAL,0,1.34,2015-01-19,2015-07-29,6,0,1,1,0,0,Joseph N.,Fred В.,191
72,MM,USUAL,0,1.31,2017-11-22,2018-12-28,13,0,1,1,1,0,Joseph N.,Chris K.,401
73,MM,USUAL,0,2.09,2015-10-25,2016-12-14,13,0,1,0,1,0,Samuel.J.,Jerry H.,416
74,OB,USUAL,0,1.05,2014-10-13,2015-09-19,11,0,0,1,1,0,Charlie S.,Jerry H.,341
75,FI,USUAL,0,1.42,2014-07-25,2016-05-17,21,0,1,1,0,0,Scarlett Y.,Dave P.,662
76,UB,USUAL,1,6.9,2015-03-29,2016-04-21,12,0,1,1,1,0,Maryam E.,Fred В.,389
77,MM,STRAT,0,1.01,2015-03-13,2017-12-07,32,1,1,1,1,0,Isabelle U.,Fred В.,1000
78,OB,USUAL,0,2.12,2015-09-24,2016-03-06,5,0,0,1,1,0,William T.,Dave P.,164
79,РP,USUAL,0,3.2,2015-03-16,2016-05-14,13,0,1,1,0,0,William T.,Fred В.,425
80,MM,USUAL,0,1.01,2015-06-07,2015-11-10,5,0,1,1,1,0,George H.,Fred В.,156
81,РP,STRAT,0,1.5,2014-11-27,2015-08-18,8,0,1,1,1,0,Jacob G.,Chris K.,264
82,РP,USUAL,0,2.58,2015-09-24,2018-01-11,27,0,1,1,1,0,Alice D.,Jerry H.,840
83,KR,USUAL,0,1.18,2014-07-27,2015-01-20,5,0,1,1,0,0,Joseph N.,Fred В.,177
84,MM,USUAL,0,1.36,2013-10-31,2014-09-04,10,0,1,1,1,0,Chloe L.,Michael J.,308
85,MM,USUAL,0,4.9,2014-05-06,2014-09-21,4,0,1,1,1,0,Heidi P.,Jerry H.,138
86,OB,USUAL,0,1.29,2015-09-26,2017-01-01,15,0,1,1,1,0,William T.,Jerry H.,463
87,РP,USUAL,1,10.89,2014-11-09,2016-05-25,18,0,0,1,1,0,Jacob G.,Jerry H.,563
88,РP,STRAT,0,1.64,2016-01-28,2017-04-16,14,0,1,1,1,0,Alice D.,Jerry H.,444
89,РP,USUAL,0,1.87,2017-07-30,2018-11-04,15,0,1,1,0,0,Oscar E.,Dave P.,462
90,РP,USUAL,0,1.47,2015-03-08,2016-08-02,16,0,1,1,1,0,William T.,Jerry H.,513
91,РP,USUAL,0,2.19,2014-05-28,2018-12-20,54,1,1,1,0,0,Bethany S.,Dave P.,1667
92,SР,USUAL,0,2.33,2015-02-07,2016-07-14,17,0,1,1,0,0,Jacob G.,Martin S.,523
93,РP,USUAL,0,1.62,2015-10-24,2018-08-01,33,1,0,1,1,0,William T.,Jerry H.,1012
94,UB,USUAL,0,1.01,2015-04-11,2016-04-30,12,0,0,1,1,0,William T.,Dave P.,385
95,РP,USUAL,0,1.04,2015-09-08,2016-02-03,4,0,1,1,0,0,Heidi P.,Jerry H.,148
96,MM,USUAL,0,1.57,2016-01-21,2016-06-06,4,0,1,1,1,0,Heidi P.,Martin S.,137
97,РP,USUAL,0,1.48,2015-11-05,2016-11-22,12,0,1,0,1,0,Charlie S.,Michael J.,383
98,OB,STRAT,0,1.44,2015-08-01,2016-05-19,9,0,1,1,1,0,Scarlett Y.,Jerry H.,292
99,MM,USUAL,0,2.49,2014-12-01,2016-05-31,17,0,1,1,1,0,William T.,Jerry H.,547
100,OB,USUAL,0,4.82,2015-10-21,2016-10-20,11,0,1,1,0,0,William T.,Michael J.,365
101,MM,USUAL,0,1.01,2015-06-15,2018-02-11,31,1,1,1,1,0,William T.,Chris K.,972
102,РP,STRAT,0,1.08,2015-09-13,2016-10-23,13,0,0,1,1,0,Joshua I.,Dave P.,406
103,FI,USUAL,0,3.27,2014-03-17,2015-01-20,10,0,0,1,1,0,William T.,Dave P.,309
104,KR,USUAL,0,1.27,2015-11-18,2017-05-12,17,0,1,1,1,0,Chloe L.,Jerry H.,541
105,KR,USUAL,0,1.01,2015-04-03,2016-05-01,12,0,1,1,1,0,William T.,Jerry H.,394
106,UB,USUAL,0,1.23,2016-06-10,2016-10-18,4,0,1,1,1,0,Ethan K.,Dave P.,130
107,РP,USUAL,0,1.55,2014-10-29,2015-10-24,11,0,1,1,1,0,Chloe L.,Michael J.,360
108,MM,USUAL,0,3.43,2014-11-09,2015-08-30,9,0,1,1,0,0,William T.,Martin S.,294
109,РP,USUAL,0,1.54,2014-12-22,2021-05-23,77,1,0,1,1,0,Noah O.,Dave P.,2344
110,MM,USUAL,0,1.01,2015-02-28,2017-01-08,22,0,1,1,1,0,Phoebe F.,Fred В.,680
111,РP,USUAL,0,1.56,2015-07-15,2016-03-01,7,0,1,1,0,0,William T.,Jerry H.,230
112,SР,USUAL,0,1.01,2015-01-13,2015-07-26,6,0,1,1,0,0,Maryam E.,Dave P.,194
113,FI,USUAL,0,2.26,2018-06-10,2021-10-07,39,1,1,1,1,0,William T.,Jerry H.,1215
114,РP,USUAL,0,1.01,2017-07-24,2018-03-10,7,0,1,1,1,0,William T.,Martin S.,229
115,OB,STRAT,0,2.48,2014-11-13,2015-12-08,12,0,1,1,1,0,Ethan K.,Dave P.,390
116,MM,USUAL,0,1.01,2014-06-11,2015-02-24,8,0,1,1,1,0,Ellie E.,Michael J.,258
117,KR,USUAL,0,2.05,2017-03-22,2018-11-19,19,0,1,1,0,0,William T.,Dave P.,607
118,UB,USUAL,0,1.06,2015-08-23,2016-08-19,11,0,1,1,0,0,Phoebe F.,Jerry H.,362
119,РP,USUAL,0,1.89,2014-05-25,2015-06-14,12,0,1,1,1,0,Jack V.,Michael J.,385
120,MM,USUAL,1,5.1,2015-03-11,2015-05-24,2,0,0,1,0,0,William T.,Chris K.,74
121,OB,USUAL,0,1.16,2014-05-11,2016-01-21,20,0,0,1,1,0,Freya P.,Jerry H.,620
122,OB,USUAL,0,1.17,2015-08-17,2016-04-14,7,0,1,1,1,0,William T.,Martin S.,241
123,OB,USUAL,0,1.3,2014-01-02,2015-05-26,16,0,0,1,1,0,Charlie S.,Fred В.,509
124,MM,STRAT,0,1.06,2015-04-30,2016-04-16,11,0,1,1,0,0,Ellie E.,Jerry H.,352
125,KR,STRAT,0,1.12,2015-12-08,2017-01-30,13,0,1,1,1,0,Phoebe F.,Jerry H.,419
126,KR,USUAL,0,1.01,2015-08-04,2018-09-03,36,1,1,1,1,0,William T.,Jerry H.,1126
127,MM,USUAL,0,1.03,2015-09-17,2018-12-04,38,1,0,1,0,0,William T.,Martin S.,1174
128,MM,USUAL,0,1.05,2018-01-25,2018-12-15,10,0,1,1,0,0,Freya P.,Chris K.,324
129,SР,USUAL,0,3.96,2014-02-23,2014-05-05,2,0,1,1,0,0,Oscar E.,Chris K.,71
130,MM,USUAL,1,5.71,2016-04-25,2016-07-16,2,0,0,1,1,0,Oscar E.,Martin S.,82
131,РP,USUAL,0,1.6,2014-04-17,2015-10-04,17,0,1,1,1,0,Charlie S.,Dave P.,535
132,РP,USUAL,0,1.01,2015-06-09,2016-07-24,13,0,1,1,1,0,Bethany S.,Jerry H.,411
133,UB,USUAL,0,1.01,2016-06-03,2017-05-05,11,0,1,1,1,0,Jack V.,Jerry H.,336
134,РP,USUAL,0,1.24,2015-08-15,2016-09-20,13,0,1,1,1,0,Noah O.,Martin S.,402
135,OB,USUAL,0,1.01,2016-02-20,2016-05-01,2,0,1,1,1,0,Phoebe F.,Jerry H.,71
136,UP,USUAL,0,1.85,2014-06-11,2020-03-13,69,1,1,1,1,0,Isabelle U.,Kevin М.,2102
137,MM,USUAL,0,1.16,2015-08-15,2016-12-31,16,0,1,1,1,0,Alfie R.,Chris K.,504
138,РP,STRAT,0,1.01,2016-09-11,2016-12-26,3,0,1,1,0,0,Thomas M.,Michael J.,106
139,OB,STRAT,0,1.01,2015-11-05,2021-03-17,64,1,1,1,1,0,George H.,Michael J.,1959
140,РP,USUAL,0,1.73,2014-07-06,2015-11-02,15,0,1,0,1,0,Heidi P.,Fred В.,484
141,РP,USUAL,0,3.55,2015-07-11,2016-10-03,14,0,0,1,1,0,William T.,Jerry H.,450
142,РP,USUAL,0,1.05,2014-06-23,2015-09-02,14,0,0,1,1,0,James D.,Brad P.,436
143,FI,USUAL,0,1.01,2021-01-16,2022-08-22,19,0,1,1,1,0,Jacob G.,Jerry H.,583
144,KR,STRAT,0,1.07,2016-02-24,2017-05-18,14,0,0,1,1,0,Ellie E.,Jerry H.,449
145,FI,USUAL,0,1.66,2015-10-18,2017-09-01,22,0,1,1,1,0,Charlie S.,Dave P.,684
146,UP,STRAT,0,1.01,2015-11-12,2016-06-16,7,0,1,1,1,0,Oscar E.,Jerry H.,217
147,РP,USUAL,0,3.17,2015-04-04,2017-03-02,22,0,1,0,1,0,William T.,Dave P.,698
148,UB,USUAL,0,1.17,2015-08-15,2017-06-21,22,0,1,1,0,0,Oscar E.,Dave P.,676
149,РP,USUAL,0,1.57,2015-05-23,2015-10-31,5,0,1,1,0,0,James D.,Jerry H.,161
150,РP,USUAL,0,2.33,2014-08-26,2015-09-11,12,0,1,1,1,0,Alfie R.,Dave P.,381
151,РP,USUAL,0,1.01,2014-06-30,2015-10-05,15,0,1,1,1,0,Thomas M.,Chris K.,462
152,OB,STRAT,0,1.21,2015-05-22,2016-08-17,14,0,1,1,1,0,Charlie S.,Jerry H.,453
153,SР,STRAT,0,1.01,2015-10-23,2016-01-02,2,0,1,1,1,0,Chloe L.,Jerry H.,71
154,UB,USUAL,0,1.16,2015-02-25,2016-07-15,16,0,1,1,0,0,Ellie E.,Dave P.,506
155,РP,STRAT,0,1.92,2015-03-02,2017-01-02,22,0,1,1,0,0,William T.,Jerry H.,672
156,MM,STRAT,0,1.43,2015-10-19,2017-11-03,24,0,1,1,1,0,Samuel.J.,Martin S.,746
157,РP,STRAT,0,1.77,2014-06-02,2015-05-26,11,0,1,1,1,0,William T.,Jerry H.,358
158,OB,USUAL,0,1.26,2018-10-27,2020-02-09,15,0,1,1,1,0,George H.,Jerry H.,470
159,РP,STRAT,0,1.03,2014-09-24,2015-08-26,11,0,1,1,1,0,William T.,Dave P.,336
160,РP,STRAT,0,2.54,2016-05-23,2017-01-15,7,0,0,1,1,0,Oscar E.,Jerry H.,237
161,РP,STRAT,0,3.16,2015-07-17,2016-10-10,14,0,1,1,1,0,Alfie R.,Michael J.,451
162,MM,USUAL,0,3.54,2015-03-26,2015-11-29,8,0,1,1,1,0,William T.,Fred В.,248
163,MM,STRAT,0,2.35,2015-07-17,2015-11-09,3,0,1,1,0,0,Alice D.,Dave P.,115
164,OB,STRAT,0,1.01,2015-09-26,2021-08-05,70,1,1,1,1,0,Alfie R.,Chris K.,2140
165,MM,USUAL,0,1.46,2015-10-19,2017-01-21,15,0,1,1,1,0,William T.,Jerry H.,460
166,MM,USUAL,0,2.31,2015-04-17,2016-06-29,14,0,0,1,0,0,Bethany S.,Dave P.,439
167,OB,USUAL,0,2.57,2015-06-08,2015-09-24,3,0,1,1,1,0,Oscar E.,Dave P.,108
168,MM,STRAT,0,3.28,2015-07-22,2016-05-25,10,0,1,1,1,0,Phoebe F.,Brad P.,308
169,MM,STRAT,0,1.37,2015-02-06,2016-07-26,17,0,0,1,0,0,Harry D.,Jerry H.,536
170,MM,USUAL,0,2.55,2013-11-25,2014-04-23,4,0,1,1,0,0,William T.,Martin S.,149
171,SР,STRAT,0,1.06,2015-02-23,2016-05-02,14,0,0,1,0,0,Bethany S.,Dave P.,434
172,SР,USUAL,0,1.67,2015-02-11,2015-12-03,9,0,1,1,0,0,Isabelle U.,Martin S.,295
173,FI,USUAL,0,1.93,2015-06-02,2016-06-25,12,0,1,1,1,0,Thomas M.,Jerry H.,389
174,РP,USUAL,0,1.24,2015-06-12,2016-12-14,18,0,1,1,1,0,Alice D.,Dave P.,551
175,РP,USUAL,0,2.85,2018-01-25,2018-05-13,3,0,1,1,1,0,Jacob G.,Dave P.,108
176,FI,STRAT,0,1.01,2015-10-05,2015-12-15,2,0,1,1,1,0,William T.,Dave P.,71
177,FI,USUAL,0,1.02,2014-04-14,2015-03-07,10,0,0,1,1,0,Charlie S.,Jerry H.,327
178,MM,STRAT,0,1.23,2017-06-25,2018-02-09,7,0,1,1,1,0,Noah O.,Dave P.,229
179,MM,USUAL,0,2.17,2015-12-10,2016-06-20,6,0,1,1,0,0,Joseph N.,Dave P.,193
180,MM,STRAT,0,1.65,2015-08-24,2017-03-29,19,0,0,1,1,0,William T.,Martin S.,583
181,KR,USUAL,0,1.55,2016-04-18,2017-09-19,17,0,1,0,0,0,Bethany S.,Jerry H.,519
182,OB,USUAL,0,1.76,2014-11-24,2015-11-30,12,0,0,1,1,0,Ethan K.,Martin S.,371
183,OB,USUAL,0,1.6,2015-04-18,2015-11-13,6,0,1,1,1,0,Oscar E.,Jerry H.,209
184,OB,STRAT,0,1.32,2015-04-11,2016-09-08,16,0,1,1,1,0,Joshua I.,Jerry H.,516
185,KR,STRAT,0,1.69,2015-05-03,2017-05-21,24,0,1,1,1,0,Jacob G.,Jerry H.,749
186,РP,USUAL,0,2.0,2014-09-14,2016-06-27,21,0,1,1,1,0,Alfie R.,Jerry H.,652
187,РP,USUAL,0,1.01,2015-11-20,2016-10-01,10,0,1,1,1,0,Heidi P.,Jerry H.,316
188,РP,USUAL,0,1.21,2014-05-12,2015-06-15,13,0,1,0,1,0,Bethany S.,Chris K.,399
189,РP,STRAT,0,1.18,2015-07-13,2016-06-02,10,0,1,1,1,0,William T.,Jerry H.,325
190,РP,USUAL,0,1.08,2015-07-06,2015-09-15,2,0,0,1,1,0,Joshua I.,Dave P.,71
191,РP,USUAL,0,1.64,2014-10-12,2015-03-24,5,0,1,1,0,0,Paige H.,Jerry H.,163
192,OB,USUAL,0,1.01,2015-06-07,2017-04-26,22,0,1,1,1,0,Oscar E.,Chris K.,689
193,FI,USUAL,0,1.58,2016-07-03,2016-11-12,4,0,1,1,1,0,Oscar E.,Dave P.,132
194,РP,USUAL,0,4.15,2016-06-03,2017-04-07,10,0,0,1,1,0,Ellie E.,Chris K.,308
195,MM,USUAL,0,2.43,2015-09-12,2016-08-23,11,0,1,1,1,0,William T.,Jerry H.,346
196,SР,STRAT,0,1.01,2014-08-30,2016-06-29,21,0,1,1,0,0,Oscar E.,Martin S.,669
197,РP,USUAL,0,1.01,2015-07-23,2018-08-05,36,1,0,1,0,0,William T.,Michael J.,1109
198,РP,STRAT,0,1.01,2016-06-02,2017-08-12,14,0,1,1,1,0,Harry D.,Dave P.,436
199,SР,STRAT,0,1.11,2014-11-06,2015-02-22,3,0,1,1,1,0,Maryam E.,Michael J.,108
200,MM,USUAL,0,1.79,2016-06-19,2016-09-16,2,0,1,1,1,0,Jacob G.,Dave P.,89
201,РP,USUAL,0,1.11,2015-12-30,2017-03-15,14,0,1,1,1,0,Jack V.,Dave P.,441
202,OB,STRAT,0,2.7,2015-06-23,2015-10-01,3,0,1,1,1,0,Harry D.,Jerry H.,100
203,РP,USUAL,0,1.69,2015-12-26,2016-11-07,10,0,0,1,1,0,Harry D.,Jerry H.,317
204,РP,STRAT,0,1.01,2014-05-09,2015-07-30,14,0,0,1,1,0,Jack V.,Dave P.,447
205,РP,STRAT,0,1.36,2015-07-12,2015-12-30,5,0,1,1,1,0,William T.,Dave P.,171
206,MM,USUAL,0,1.17,2016-10-06,2017-10-21,12,0,1,1,1,0,James D.,Dave P.,380
207,UB,USUAL,0,2.45,2014-07-22,2015-01-11,5,0,1,1,1,0,William T.,Jerry H.,173
208,OB,USUAL,0,1.87,2015-06-18,2018-05-19,35,1,1,1,1,0,Heidi P.,Martin S.,1066
209,KR,USUAL,0,1.03,2015-06-10,2016-07-31,13,0,1,1,1,0,George H.,Dave P.,417
210,UB,USUAL,0,1.91,2015-08-14,2016-08-16,12,0,0,1,1,0,Jack V.,Dave P.,368
211,MM,USUAL,0,3.04,2016-07-15,2017-01-29,6,0,1,1,1,0,Jack V.,Chris K.,198
212,UP,STRAT,0,1.37,2015-05-20,2016-09-13,15,0,1,1,1,0,Harry D.,Jerry H.,482
213,KR,USUAL,0,3.0,2014-06-05,2015-06-21,12,0,1,1,0,0,Charlie S.,Martin S.,381
214,MM,USUAL,0,1.13,2015-09-04,2016-08-15,11,0,0,0,0,0,Joshua I.,Dave P.,346
215,РP,USUAL,0,1.42,2016-02-10,2017-06-19,16,0,1,1,1,0,James D.,Fred В.,495
216,MM,STRAT,0,1.01,2015-03-31,2016-06-17,14,0,0,1,1,0,James D.,Chris K.,444
217,UP,USUAL,0,2.45,2015-02-12,2016-05-11,14,0,1,1,1,0,Charlie S.,Jerry H.,454
218,MM,USUAL,0,1.61,2017-09-12,2018-08-12,10,0,0,1,1,0,Isabelle U.,Dave P.,334
219,OB,USUAL,0,1.2,2014-12-17,2015-05-31,5,0,0,1,1,0,William T.,Martin S.,165
220,РP,USUAL,0,1.01,2015-02-07,2015-08-21,6,0,1,1,0,0,William T.,Chris K.,195
221,РP,USUAL,0,3.16,2015-05-02,2017-10-22,29,0,1,1,1,0,Freya P.,Martin S.,904
222,SР,STRAT,0,1.01,2014-11-22,2015-11-08,11,0,1,1,1,0,Joshua I.,Fred В.,351
223,РP,USUAL,0,1.01,2020-12-26,2021-04-11,3,0,1,1,1,0,Jacob G.,Jerry H.,106
224,OB,STRAT,0,1.01,2015-01-23,2015-10-25,9,0,1,1,1,0,George H.,Chris K.,275
225,РP,STRAT,0,1.01,2016-11-22,2017-12-17,12,0,1,1,1,0,Noah O.,Michael J.,390
226,KR,STRAT,0,2.69,2015-09-21,2016-03-11,5,0,1,1,1,0,Heidi P.,Dave P.,172
227,FI,USUAL,0,1.01,2015-09-27,2017-04-12,18,0,1,1,1,0,Oscar E.,Dave P.,563
228,РP,USUAL,0,1.01,2014-04-16,2015-10-31,18,0,0,1,1,0,William T.,Jerry H.,563
229,РP,USUAL,0,1.15,2015-06-05,2021-11-04,77,1,1,1,1,0,William T.,Martin S.,2344
230,РP,STRAT,0,1.95,2015-03-05,2015-09-12,6,0,0,1,1,0,William T.,Martin S.,191
231,РP,USUAL,0,1.11,2015-01-05,2016-08-20,19,0,1,0,1,0,Oscar E.,Jerry H.,593
232,РP,USUAL,0,1.04,2015-09-12,2016-11-15,14,0,1,1,1,0,Isabelle U.,Jerry H.,430
233,OB,USUAL,0,4.33,2016-01-15,2017-03-02,13,0,0,1,0,0,George H.,Jerry H.,412
234,MM,STRAT,0,2.17,2016-02-10,2017-11-30,21,0,1,1,1,0,William T.,Dave P.,659
235,UP,USUAL,0,1.8,2016-04-21,2018-06-19,25,0,1,1,1,0,Ethan K.,Jerry H.,789
236,РP,USUAL,0,1.01,2015-11-26,2016-04-08,4,0,1,1,0,0,Charlie S.,Jerry H.,134
237,KR,USUAL,0,1.01,2016-01-29,2016-08-30,7,0,0,1,1,0,Noah O.,Martin S.,214
238,UB,USUAL,0,2.97,2015-02-23,2016-02-12,11,0,1,1,1,0,Oscar E.,Jerry H.,354
239,РP,USUAL,0,1.21,2015-03-18,2016-03-04,11,0,1,1,1,0,William T.,Dave P.,352
240,OB,USUAL,1,9.87,2015-02-27,2016-09-22,18,0,0,1,0,0,Ellie E.,Fred В.,573
241,РP,USUAL,0,1.22,2020-01-05,2021-11-18,22,0,1,1,0,0,Scarlett Y.,Chris K.,683
242,РP,STRAT,0,1.1,2014-08-08,2015-09-27,13,0,1,1,1,0,William T.,Jerry H.,415
